"BehaviorSpace results (NetLogo 6.0)"
"socio-eco-nw.nlogo"
"equilibrium-pop"
"03/04/2017 12:00:48:448 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","r","harvest-rate","alpha","k","link-prob","beta","conversion-efficiency","death-rate","n","[step]","[size] of social-system 0"
"185","0.1","1.0E-6","0.95","1","0","1.19","1.0E-4","4.0E-7","1","16092","15379.847269064268"
"188","0.1","1.0E-6","0.96","1","0","0.91","1.0E-4","4.0E-7","1","30985","81871.1894944969"
"187","0.1","1.0E-6","0.96","1","0","0.9","1.0E-4","4.0E-7","1","41020","67085.82425225235"
"189","0.1","1.0E-6","0.96","1","0","0.92","1.0E-4","4.0E-7","1","24367","91859.60318480767"
"191","0.1","1.0E-6","0.96","1","0","0.94","1.0E-4","4.0E-7","1","15441","99011.70981343416"
"192","0.1","1.0E-6","0.96","1","0","0.95","1.0E-4","4.0E-7","1","12578","97931.7369010186"
"194","0.1","1.0E-6","0.96","1","0","0.97","1.0E-4","4.0E-7","1","8510","90577.5619619985"
"193","0.1","1.0E-6","0.96","1","0","0.96","1.0E-4","4.0E-7","1","10105","94894.4659087221"
"196","0.1","1.0E-6","0.96","1","0","0.99","1.0E-4","4.0E-7","1","5518","80037.32773122276"
"190","0.1","1.0E-6","0.96","1","0","0.93","1.0E-4","4.0E-7","1","19169","97298.173868085"
"195","0.1","1.0E-6","0.96","1","0","0.98","1.0E-4","4.0E-7","1","6820","85498.68901492373"
"197","0.1","1.0E-6","0.96","1","0","1","1.0E-4","4.0E-7","1","3888","74462.2551291509"
"198","0.1","1.0E-6","0.96","1","0","1.01","1.0E-4","4.0E-7","1","4038","68957.38310779262"
"200","0.1","1.0E-6","0.96","1","0","1.03","1.0E-4","4.0E-7","1","4154","58595.33171302548"
"202","0.1","1.0E-6","0.96","1","0","1.05","1.0E-4","4.0E-7","1","4501","49441.7238815963"
"199","0.1","1.0E-6","0.96","1","0","1.02","1.0E-4","4.0E-7","1","4044","63643.46944818922"
"201","0.1","1.0E-6","0.96","1","0","1.04","1.0E-4","4.0E-7","1","4565","53855.028849935035"
"203","0.1","1.0E-6","0.96","1","0","1.06","1.0E-4","4.0E-7","1","5165","45358.93917974046"
"204","0.1","1.0E-6","0.96","1","0","1.07","1.0E-4","4.0E-7","1","5153","41599.82082060829"
"205","0.1","1.0E-6","0.96","1","0","1.08","1.0E-4","4.0E-7","1","5382","38150.91124197581"
"206","0.1","1.0E-6","0.96","1","0","1.09","1.0E-4","4.0E-7","1","6036","34994.81920920805"
"207","0.1","1.0E-6","0.96","1","0","1.1","1.0E-4","4.0E-7","1","6883","32112.08306530337"
"208","0.1","1.0E-6","0.96","1","0","1.11","1.0E-4","4.0E-7","1","6722","29482.448895662736"
"211","0.1","1.0E-6","0.96","1","0","1.14","1.0E-4","4.0E-7","1","8446","22913.721781509717"
"210","0.1","1.0E-6","0.96","1","0","1.13","1.0E-4","4.0E-7","1","8772","24902.352401284883"
"209","0.1","1.0E-6","0.96","1","0","1.12","1.0E-4","4.0E-7","1","6583","27085.727737936457"
"212","0.1","1.0E-6","0.96","1","0","1.15","1.0E-4","4.0E-7","1","8704","21102.39661769597"
"213","0.1","1.0E-6","0.96","1","0","1.16","1.0E-4","4.0E-7","1","11195","19452.192625812117"
"214","0.1","1.0E-6","0.96","1","0","1.17","1.0E-4","4.0E-7","1","12177","17948.204185586146"
"217","0.1","1.0E-6","0.96","1","0","1.2","1.0E-4","4.0E-7","1","16519","14182.996793050374"
"216","0.1","1.0E-6","0.96","1","0","1.19","1.0E-4","4.0E-7","1","13222","15325.482259955663"
"215","0.1","1.0E-6","0.96","1","0","1.18","1.0E-4","4.0E-7","1","13334","16576.782106369228"
"218","0.1","1.0E-6","0.97","1","0","0.9","1.0E-4","4.0E-7","1","48274","44786.697536891035"
"220","0.1","1.0E-6","0.97","1","0","0.92","1.0E-4","4.0E-7","1","27169","73417.04715912772"
"219","0.1","1.0E-6","0.97","1","0","0.91","1.0E-4","4.0E-7","1","36413","60742.860829332305"
"224","0.1","1.0E-6","0.97","1","0","0.96","1.0E-4","4.0E-7","1","11100","86970.3640148241"
"223","0.1","1.0E-6","0.97","1","0","0.95","1.0E-4","4.0E-7","1","13405","87942.11617903746"
"222","0.1","1.0E-6","0.97","1","0","0.94","1.0E-4","4.0E-7","1","16715","86524.68422093682"
"221","0.1","1.0E-6","0.97","1","0","0.93","1.0E-4","4.0E-7","1","21044","81922.75814394416"
"225","0.1","1.0E-6","0.97","1","0","0.97","1.0E-4","4.0E-7","1","8894","84319.71386380566"
"227","0.1","1.0E-6","0.97","1","0","0.99","1.0E-4","4.0E-7","1","5899","76149.23187278442"
"226","0.1","1.0E-6","0.97","1","0","0.98","1.0E-4","4.0E-7","1","7498","80565.7594395233"
"229","0.1","1.0E-6","0.97","1","0","1.01","1.0E-4","4.0E-7","1","4043","66532.36211772429"
"232","0.1","1.0E-6","0.97","1","0","1.04","1.0E-4","4.0E-7","1","4066","52638.22033223487"
"230","0.1","1.0E-6","0.97","1","0","1.02","1.0E-4","4.0E-7","1","3894","61721.950101439244"
"228","0.1","1.0E-6","0.97","1","0","1","1.0E-4","4.0E-7","1","4575","71394.46630826773"
"231","0.1","1.0E-6","0.97","1","0","1.03","1.0E-4","4.0E-7","1","3944","57068.55103315635"
"233","0.1","1.0E-6","0.97","1","0","1.05","1.0E-4","4.0E-7","1","4458","48468.85334161263"
"234","0.1","1.0E-6","0.97","1","0","1.06","1.0E-4","4.0E-7","1","4633","44578.53176426933"
"236","0.1","1.0E-6","0.97","1","0","1.08","1.0E-4","4.0E-7","1","5240","37643.634212903504"
"237","0.1","1.0E-6","0.97","1","0","1.09","1.0E-4","4.0E-7","1","5455","34583.750045656765"
"235","0.1","1.0E-6","0.97","1","0","1.07","1.0E-4","4.0E-7","1","4826","40971.69365775575"
"238","0.1","1.0E-6","0.97","1","0","1.1","1.0E-4","4.0E-7","1","5681","31777.85016171695"
"239","0.1","1.0E-6","0.97","1","0","1.11","1.0E-4","4.0E-7","1","5725","29209.780628866287"
