"BehaviorSpace results (NetLogo 6.0)"
"socio-eco-nw.nlogo"
"equilibrium-bio"
"03/04/2017 13:24:43:447 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","r","harvest-rate","alpha","k","link-prob","beta","conversion-efficiency","death-rate","n","[step]","[size] of ecosystem 1"
"186","0.1","1.0E-6","1.07","1","0","0.98","1.0E-4","4.0E-7","1","22887","0.9165865806108164"
"185","0.1","1.0E-6","1.06","1","0","0.98","1.0E-4","4.0E-7","1","19858","0.8678876854045391"
"190","0.1","1.0E-6","0.9","1","0","0.99","1.0E-4","4.0E-7","1","5680","0.1424231620981892"
"188","0.1","1.0E-6","1.09","1","0","0.98","1.0E-4","4.0E-7","1","25503","0.9725980621696687"
"192","0.1","1.0E-6","0.92","1","0","0.99","1.0E-4","4.0E-7","1","4724","0.1797249239009699"
"194","0.1","1.0E-6","0.94","1","0","0.99","1.0E-4","4.0E-7","1","4701","0.22655286317364381"
"191","0.1","1.0E-6","0.91","1","0","0.99","1.0E-4","4.0E-7","1","5384","0.16000690371730603"
"193","0.1","1.0E-6","0.93","1","0","0.99","1.0E-4","4.0E-7","1","5051","0.20181941894634217"
"195","0.1","1.0E-6","0.95","1","0","0.99","1.0E-4","4.0E-7","1","4140","0.2542064178693069"
"197","0.1","1.0E-6","0.97","1","0","0.99","1.0E-4","4.0E-7","1","5958","0.3194674982363106"
"189","0.1","1.0E-6","1.1","1","0","0.98","1.0E-4","4.0E-7","1","24615","0.9843696460325135"
"198","0.1","1.0E-6","0.98","1","0","0.99","1.0E-4","4.0E-7","1","6615","0.357681812673562"
"196","0.1","1.0E-6","0.96","1","0","0.99","1.0E-4","4.0E-7","1","5556","0.28507636594593133"
"200","0.1","1.0E-6","1","1","0","0.99","1.0E-4","4.0E-7","1","7802","0.4466517781412661"
"199","0.1","1.0E-6","0.99","1","0","0.99","1.0E-4","4.0E-7","1","6963","0.4000000000000191"
"201","0.1","1.0E-6","1.01","1","0","0.99","1.0E-4","4.0E-7","1","8249","0.49776887971199846"
"203","0.1","1.0E-6","1.03","1","0","0.99","1.0E-4","4.0E-7","1","9944","0.6129490291150346"
"204","0.1","1.0E-6","1.04","1","0","0.99","1.0E-4","4.0E-7","1","11327","0.6758853809082348"
"205","0.1","1.0E-6","1.05","1","0","0.99","1.0E-4","4.0E-7","1","13001","0.7405849032391063"
"202","0.1","1.0E-6","1.02","1","0","0.99","1.0E-4","4.0E-7","1","9041","0.5533109230708295"
"206","0.1","1.0E-6","1.06","1","0","0.99","1.0E-4","4.0E-7","1","15093","0.8044259008936122"
"207","0.1","1.0E-6","1.07","1","0","0.99","1.0E-4","4.0E-7","1","17775","0.863433925378516"
